obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3617633899,1,33.02320099,3724598710,3724598710,3617633899,0,internal_timestamp,574.5300293,707896,1408645098,5.050899982,3.302320099,34.15005757,1029.655199,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('1',)",3617654427,1,33.01039886,3724598710,3724598710,3617654427,0,internal_timestamp,573.6500244,160048,1408665627,5.034599781,3.301039886,34.15239393,1029.655092,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('2',)",3617654437,1,33.00989914,3724598710,3724598710,3617654437,0,internal_timestamp,572.3400269,159806,1408665637,5.034999847,3.300989914,34.15206934,1029.648766,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('3',)",3617654446,1,33.00989914,3724598710,3724598710,3617654446,0,internal_timestamp,570.3800049,193764,1408665646,5.035900116,3.300989914,34.1521357,1029.639698,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('4',)",3617654457,1,33.01399994,3724598710,3724598710,3617654457,0,internal_timestamp,567.6699829,157568,1408665657,5.043900013,3.301399994,34.15005804,1029.624582,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('5',)",3617654467,1,33.02050018,3724598710,3724598710,3617654467,0,internal_timestamp,565.1500244,163016,1408665667,5.056200027,3.302050018,34.14626222,1029.608433,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('6',)",3617654477,1,33.0196991,3724598710,3724598710,3617654477,0,internal_timestamp,562.7000122,163680,1408665677,5.056000233,3.30196991,34.1467748,1029.597606,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('7',)",3617654487,1,33.02389908,3724598710,3724598710,3617654487,0,internal_timestamp,560.4500122,163537,1408665687,5.063499928,3.302389908,34.1450905,1029.584977,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('8',)",3617654497,1,33.0265007,3724598710,3724598710,3617654497,0,internal_timestamp,558.5100098,189459,1408665697,5.068900108,3.30265007,34.14355305,1029.574158,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
"('9',)",3617654507,1,33.02669907,3724598710,3724598710,3617654507,0,internal_timestamp,556.75,160861,1408665707,5.070099831,3.302669907,34.14344243,1029.565829,29,29,29,29,1,0,29,13,29,29,29,29,44.36831,-124.95276
