obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3771187288,5,33.23820114,3774706964,3774706965,3771187288,0,internal_timestamp,577.4899902,84066,1562198488,5.295499802,3.323820114,34.14616798,1029.633953,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3771187308,5,33.24739838,3774706964,3774706965,3771187308,0,internal_timestamp,573.2199707,78160,1562198508,5.311200142,3.324739838,34.14286797,1029.609701,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3771187328,5,33.24840164,3774706964,3774706965,3771187328,0,internal_timestamp,567.9899902,80924,1562198528,5.315100193,3.324840164,34.14266161,1029.585031,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3771187348,5,33.24710083,3774706964,3774706965,3771187348,0,internal_timestamp,562.7000122,118547,1562198548,5.316599846,3.324710083,34.14229092,1029.560269,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3771187368,5,33.24980164,3774706964,3774706965,3771187368,0,internal_timestamp,557.4500122,81529,1562198568,5.323200226,3.324980164,34.14129496,1029.534527,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3771187388,5,33.26929855,3774706964,3774706965,3771187388,0,internal_timestamp,552.2000122,97534,1562198588,5.35160017,3.326929855,34.13735809,1029.503607,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3771187408,5,33.33950043,3774706964,3774706965,3771187408,0,internal_timestamp,546.9699707,96117,1562198608,5.452499866,3.333950043,34.11775177,1029.450872,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3771187428,5,33.36380005,3774706964,3774706965,3771187428,0,internal_timestamp,541.6900024,82696,1562198628,5.482699871,3.336380005,34.11746228,1029.422428,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('8',)",3771187448,5,33.43299866,3774706964,3774706965,3771187448,0,internal_timestamp,536.4899902,99735,1562198648,5.576900005,3.343299866,34.10345243,1029.37503,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('9',)",3771187468,5,33.50260162,3774706964,3774706965,3771187468,0,internal_timestamp,531.2600098,97777,1562198668,5.661099911,3.350260162,34.09996893,1029.337051,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('10',)",3771187488,5,33.60929871,3774706964,3774706965,3771187488,0,internal_timestamp,526.0300293,112731,1562198688,5.804800034,3.360929871,34.07846186,1029.276785,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('11',)",3771187508,5,33.62480164,3774706964,3774706965,3771187508,0,internal_timestamp,520.8099976,109775,1562198708,5.82159996,3.362480164,34.08162251,1029.253079,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('12',)",3771187528,5,33.65140152,3774706964,3774706965,3771187528,0,internal_timestamp,515.5900269,110271,1562198728,5.855199814,3.365140152,34.08040581,1029.223647,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('13',)",3771187548,5,33.67459869,3774706964,3774706965,3771187548,0,internal_timestamp,510.3800049,97541,1562198748,5.88740015,3.367459869,34.07675348,1029.192528,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
