obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.50612998,29,13,1026.727669,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.07299805,29,29,1503690903,33.83129883,29,29,1,7.894199848,29,29,3712679703
"('1',)",3.50612998,29,13,1026.72766,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.07099915,29,29,1503690903,33.83129883,29,29,0,7.894199848,29,29,3712679703
"('2',)",3.505280018,29,13,1026.720303,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.06500244,29,29,1503690903,33.8219986,29,29,0,7.89440012,29,29,3712679703
"('3',)",3.50612998,29,13,1026.727669,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.07299805,29,29,1503690903,33.83129883,29,29,0,7.894199848,29,29,3712679703
"('4',)",3.50612998,29,13,1026.727475,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.07099915,29,29,1503690903,33.83110046,29,29,0,7.89440012,29,29,3712679703
"('5',)",3.50338006,29,13,1026.704479,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.06500244,29,29,1503690903,33.80179977,29,29,0,7.894199848,29,29,3712679703
"('6',)",3.504230022,29,13,1026.711533,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.06300354,29,29,1503690903,33.81079865,29,29,0,7.894199848,29,29,3712679703
"('7',)",3.504899979,29,13,1026.717102,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.06500244,29,29,1503690903,33.81790161,29,29,0,7.894299984,29,29,3712679703
"('8',)",3.504189968,29,13,1026.711213,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.06500244,29,29,1503690903,33.8103981,29,29,0,7.894299984,29,29,3712679703
"('9',)",3.503750086,29,13,1026.70751,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.06199646,29,29,1503690903,33.80569839,29,29,0,7.894299984,29,29,3712679703
"('10',)",3.503819942,29,13,1026.707997,29,29,7,3742013591,3742013591,3712679703,44.6355,-124.30293,0,internal_timestamp,77.06500244,29,29,1503690903,33.80630112,29,29,0,7.894299984,29,29,3712679703
"('11',)",3.504359961,29,13,1026.712524,29,29,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.06300354,29,29,1503690904,33.81209946,29,29,0,7.89440012,29,29,3712679704
"('12',)",3.505049944,29,13,1026.718245,29,29,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.06400299,29,29,1503690904,33.81940079,29,29,0,7.894499779,29,29,3712679704
"('13',)",3.505729914,29,13,1026.723871,29,29,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.06199646,29,29,1503690904,33.82659912,29,29,0,7.894599915,29,29,3712679704
"('14',)",3.506259918,29,13,1026.728178,29,13,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.06300354,29,29,1503690904,33.83209991,29,29,0,7.89470005,29,29,3712679704
"('15',)",3.506609917,29,13,1026.731049,29,13,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.05899811,29,29,1503690904,33.83580017,29,29,0,7.894800186,29,29,3712679704
"('16',)",3.506819963,29,13,1026.732859,29,13,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.05999756,29,29,1503690904,33.83810043,29,29,0,7.894800186,29,29,3712679704
"('17',)",3.506959915,29,13,1026.734022,29,13,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.05699921,29,29,1503690904,33.83959961,29,29,0,7.894800186,29,29,3712679704
"('18',)",3.507050037,29,13,1026.734733,29,13,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.05799866,29,29,1503690904,33.84049988,29,29,0,7.894800186,29,29,3712679704
"('19',)",3.507110119,29,13,1026.735194,29,13,7,3742013591,3742013591,3712679704,44.6355,-124.30293,0,internal_timestamp,77.05599976,29,29,1503690904,33.84109879,29,29,0,7.894800186,29,29,3712679704
