obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3660638474,2,31.47330093,3746541034,3746541034,3660638474,0,internal_timestamp,2928.840088,279591,1451649674,1.718000054,3.147330093,34.64518763,1041.123058,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('1',)",3660638485,2,31.4720993,3746541034,3746541034,3660638485,0,internal_timestamp,2926.320068,283584,1451649685,1.717700005,3.14720993,34.64519179,1041.111939,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('2',)",3660638496,2,31.47069931,3746541034,3746541034,3660638496,0,internal_timestamp,2923.439941,299001,1451649696,1.717399955,3.147069931,34.64511843,1041.099164,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('3',)",3660638507,2,31.46960068,3746541034,3746541034,3660638507,0,internal_timestamp,2920.610107,286499,1451649707,1.717000008,3.146960068,34.64549866,1041.08698,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('4',)",3660638518,2,31.46820068,3746541034,3746541034,3660638518,0,internal_timestamp,2917.709961,288499,1451649718,1.716699958,3.146820068,34.6454351,1041.074122,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('5',)",3660638529,2,31.46719933,3746541034,3746541034,3660638529,0,internal_timestamp,2916.27002,290019,1451649729,1.716699958,3.146719933,34.64486889,1041.067298,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('6',)",3660638540,2,31.4673996,3746541034,3746541034,3660638540,0,internal_timestamp,2916.189941,292382,1451649740,1.716599941,3.14673996,34.64525827,1041.067262,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('7',)",3660638551,2,31.4666996,3746541034,3746541034,3660638551,0,internal_timestamp,2914.600098,294431,1451649751,1.716500044,3.14666996,34.64523775,1041.060214,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('8',)",3660638562,2,31.46570015,3746541034,3746541034,3660638562,0,internal_timestamp,2912.100098,296746,1451649762,1.716199994,3.146570015,34.64548227,1041.049369,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('9',)",3660638573,2,31.46419907,3746541034,3746541034,3660638573,0,internal_timestamp,2909.26001,289185,1451649773,1.716099977,3.146419907,34.64505472,1041.036461,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('10',)",3660638584,2,31.46279907,3746541034,3746541034,3660638584,0,internal_timestamp,2906.379883,291032,1451649784,1.715399981,3.146279907,34.6454089,1041.024074,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('11',)",3660638595,2,31.46150017,3746541034,3746541034,3660638595,0,internal_timestamp,2903.51001,293050,1451649795,1.715299964,3.146150017,34.64524399,1041.011237,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('12',)",3660638606,2,31.46109962,3746541034,3746541034,3660638606,0,internal_timestamp,2902.330078,295995,1451649806,1.71510005,3.146109962,34.64550935,1041.006243,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('13',)",3660638617,2,31.46089935,3746541034,3746541034,3660638617,0,internal_timestamp,2902.179932,304474,1451649817,1.715199947,3.146089935,34.64522625,1041.005341,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('14',)",3660638628,2,31.46030045,3746541034,3746541034,3660638628,0,internal_timestamp,2900.399902,299422,1451649828,1.715000033,3.146030045,34.64552498,1040.997712,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('15',)",3660638639,2,31.45919991,3746541034,3746541034,3660638639,0,internal_timestamp,2897.879883,299134,1451649839,1.71510005,3.145919991,34.64522983,1040.986293,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('16',)",3660638650,2,31.45779991,3746541034,3746541034,3660638650,0,internal_timestamp,2895.030029,305222,1451649850,1.714400053,3.145779991,34.64557123,1040.974028,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('17',)",3660638661,2,31.4564991,3746541034,3746541034,3660638661,0,internal_timestamp,2892.27002,302624,1451649861,1.71449995,3.14564991,34.64514146,1040.961438,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('18',)",3660638672,2,31.45490074,3746541034,3746541034,3660638672,0,internal_timestamp,2889.409912,305077,1451649872,1.714100003,3.145490074,34.64492492,1040.948645,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('19',)",3660638683,2,31.45339966,3746541034,3746541034,3660638683,0,internal_timestamp,2886.51001,301254,1451649883,1.713700056,3.145339966,34.64484656,1040.935783,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('20',)",3660638694,2,31.45199966,3746541034,3746541034,3660638694,0,internal_timestamp,2883.600098,300111,1451649894,1.713700056,3.145199966,34.64447137,1040.922584,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('21',)",3660638705,2,31.45079994,3746541034,3746541034,3660638705,0,internal_timestamp,2880.75,302042,1451649905,1.71329999,3.145079994,34.64474098,1040.910212,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('22',)",3660638716,2,31.44980049,3746541034,3746541034,3660638716,0,internal_timestamp,2877.879883,303706,1451649916,1.71329999,3.144980049,34.64484015,1040.897558,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('23',)",3660638727,2,31.44820023,3746541034,3746541034,3660638727,0,internal_timestamp,2875.070068,306808,1451649927,1.712700009,3.144820023,34.64481245,1040.885161,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('24',)",3660638738,2,31.44630051,3746541034,3746541034,3660638738,0,internal_timestamp,2872.219971,307946,1451649938,1.711799979,3.144630051,34.64475525,1040.872607,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('25',)",3660638749,2,31.44490051,3746541034,3746541034,3660638749,0,internal_timestamp,2869.330078,324095,1451649949,1.711899996,3.144490051,34.64426566,1040.859388,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('26',)",3660638760,2,31.4435997,3746541034,3746541034,3660638760,0,internal_timestamp,2866.419922,312669,1451649960,1.711899996,3.14435997,34.64401414,1040.84628,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('27',)",3660638771,2,31.44210052,3746541034,3746541034,3660638771,0,internal_timestamp,2863.52002,313118,1451649971,1.711199999,3.144210052,34.64426003,1040.833708,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('28',)",3660638782,2,31.4409008,3746541034,3746541034,3660638782,0,internal_timestamp,2860.639893,305385,1451649982,1.711099982,3.14409008,34.64422597,1040.820916,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('29',)",3660638793,2,31.43969917,3746541034,3746541034,3660638793,0,internal_timestamp,2857.719971,305459,1451649993,1.711099982,3.143969917,34.64410175,1040.807861,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('30',)",3660638804,2,31.43860054,3746541034,3746541034,3660638804,0,internal_timestamp,2854.790039,308722,1451650004,1.711099982,3.143860054,34.64410905,1040.794863,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('31',)",3660638815,2,31.43759918,3746541034,3746541034,3660638815,0,internal_timestamp,2851.949951,312397,1451650015,1.711199999,3.143759918,34.64408802,1040.782227,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('32',)",3660638826,2,31.43639946,3746541034,3746541034,3660638826,0,internal_timestamp,2849.129883,316356,1451650026,1.711500049,3.143639946,34.64360105,1040.769285,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('33',)",3660638837,2,31.43549919,3746541034,3746541034,3660638837,0,internal_timestamp,2846.189941,319173,1451650037,1.711799979,3.143549919,34.64353815,1040.756141,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('34',)",3660638848,2,31.43440056,3746541034,3746541034,3660638848,0,internal_timestamp,2843.26001,311214,1451650048,1.711699963,3.143440056,34.64365318,1040.743239,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('35',)",3660638859,2,31.43330002,3746541034,3746541034,3660638859,0,internal_timestamp,2840.399902,312133,1451650059,1.711599946,3.143330002,34.64373378,1040.730619,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('36',)",3660638870,2,31.43219948,3746541034,3746541034,3660638870,0,internal_timestamp,2837.530029,315799,1451650070,1.711899996,3.143219948,34.64339293,1040.717567,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('37',)",3660638881,2,31.43129921,3746541034,3746541034,3660638881,0,internal_timestamp,2834.590088,419183,1451650081,1.712100029,3.143129921,34.64343766,1040.704519,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('38',)",3660638892,2,31.43029976,3746541034,3746541034,3660638892,0,internal_timestamp,2831.679932,313369,1451650092,1.712100029,3.143029976,34.64356007,1040.691693,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('39',)",3660638903,2,31.42880058,3746541034,3746541034,3660638903,0,internal_timestamp,2828.820068,316461,1451650103,1.711899996,3.142880058,34.64325821,1040.678787,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('40',)",3660638914,2,31.42749977,3746541034,3746541034,3660638914,0,internal_timestamp,2825.870117,319327,1451650114,1.711300015,3.142749977,34.64366854,1040.666096,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('41',)",3660638925,2,31.42650032,3746541034,3746541034,3660638925,0,internal_timestamp,2823.02002,321749,1451650125,1.711699963,3.142650032,34.64333774,1040.653121,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('42',)",3660638936,2,31.42550087,3746541034,3746541034,3660638936,0,internal_timestamp,2820.149902,325020,1451650136,1.711899996,3.142550087,34.64322957,1040.64026,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('43',)",3660638947,2,31.42440033,3746541034,3746541034,3660638947,0,internal_timestamp,2817.26001,317924,1451650147,1.712200046,3.142440033,34.64289998,1040.627122,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('44',)",3660638958,2,31.42340088,3746541034,3746541034,3660638958,0,internal_timestamp,2814.370117,318418,1451650158,1.712100029,3.142340088,34.64312133,1040.614473,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('45',)",3660638969,2,31.42219925,3746541034,3746541034,3660638969,0,internal_timestamp,2811.48999,320235,1451650169,1.712200046,3.142219925,34.64287666,1040.601473,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('46',)",3660638980,2,31.42140007,3746541034,3746541034,3660638980,0,internal_timestamp,2808.530029,322711,1451650180,1.712700009,3.142140007,34.64273802,1040.588142,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('47',)",3660638991,2,31.42040062,3746541034,3746541034,3660638991,0,internal_timestamp,2805.659912,325804,1451650191,1.712900043,3.142040062,34.64263127,1040.575278,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('48',)",3660639002,2,31.41950035,3746541034,3746541034,3660639002,0,internal_timestamp,2802.810059,377465,1451650202,1.713099957,3.141950035,34.64263746,1040.562591,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('49',)",3660639013,2,31.41830063,3746541034,3746541034,3660639013,0,internal_timestamp,2799.879883,331140,1451650213,1.713099957,3.141830063,34.64252617,1040.549484,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('50',)",3660639024,2,31.41740036,3746541034,3746541034,3660639024,0,internal_timestamp,2797.02002,324515,1451650224,1.71329999,3.141740036,34.64253747,1040.536756,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('51',)",3660639035,2,31.41690063,3746541034,3746541034,3660639035,0,internal_timestamp,2794.139893,325349,1451650235,1.714100003,3.141690063,34.64241154,1040.523741,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('52',)",3660639046,2,31.41589928,3746541034,3746541034,3660639046,0,internal_timestamp,2791.320068,327200,1451650246,1.71420002,3.141589928,34.64238705,1040.511175,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('53',)",3660639057,2,31.41430092,3746541034,3746541034,3660639057,0,internal_timestamp,2788.459961,331985,1451650257,1.71389997,3.141430092,34.64207386,1040.498265,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('54',)",3660639068,2,31.41320038,3746541034,3746541034,3660639068,0,internal_timestamp,2785.530029,334335,1451650268,1.713700056,3.141320038,34.64229899,1040.485456,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('55',)",3660639079,2,31.41270065,3746541034,3746541034,3660639079,0,internal_timestamp,2782.639893,336591,1451650279,1.714400053,3.141270065,34.64228548,1040.472504,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('56',)",3660639090,2,31.41239929,3746541034,3746541034,3660639090,0,internal_timestamp,2779.790039,329361,1451650290,1.715899944,3.141239929,34.64164474,1040.459123,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('57',)",3660639101,2,31.41150093,3746541034,3746541034,3660639101,0,internal_timestamp,2776.929932,331986,1451650301,1.715999961,3.141150093,34.64176711,1040.446497,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('58',)",3660639112,2,31.41069984,3746541034,3746541034,3660639112,0,internal_timestamp,2774.02002,335262,1451650312,1.716599941,3.141069984,34.64149965,1040.433271,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('59',)",3660639123,2,31.41049957,3746541034,3746541034,3660639123,0,internal_timestamp,2771.120117,337122,1451650323,1.717800021,3.141049957,34.64132701,1040.420076,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('60',)",3660639134,2,31.40920067,3746541034,3746541034,3660639134,0,internal_timestamp,2768.209961,339148,1451650334,1.717499971,3.140920067,34.64140746,1040.407251,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('61',)",3660639145,2,31.40810013,3746541034,3746541034,3660639145,0,internal_timestamp,2765.360107,341970,1451650345,1.717599988,3.140810013,34.64127753,1040.394471,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('62',)",3660639156,2,31.40699959,3746541034,3746541034,3660639156,0,internal_timestamp,2762.429932,333501,1451650356,1.717800021,3.140699959,34.64107875,1040.381265,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('63',)",3660639167,2,31.40600014,3746541034,3746541034,3660639167,0,internal_timestamp,2759.550049,336914,1451650367,1.717800021,3.140600014,34.64119438,1040.368556,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('64',)",3660639178,2,31.40530014,3746541034,3746541034,3660639178,0,internal_timestamp,2756.669922,340257,1451650378,1.718299985,3.140530014,34.6411457,1040.355644,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('65',)",3660639189,2,31.40439987,3746541034,3746541034,3660639189,0,internal_timestamp,2753.75,343811,1451650389,1.718799949,3.140439987,34.64086957,1040.342377,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('66',)",3660639200,2,31.40340042,3746541034,3746541034,3660639200,0,internal_timestamp,2750.820068,346127,1451650400,1.718999982,3.140340042,34.64079619,1040.329266,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('67',)",3660639211,2,31.40250015,3746541034,3746541034,3660639211,0,internal_timestamp,2747.959961,347949,1451650411,1.719300032,3.140250015,34.64070582,1040.316438,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('68',)",3660639222,2,31.40169907,3746541034,3746541034,3660639222,0,internal_timestamp,2745.070068,339622,1451650422,1.719599962,3.140169907,34.6407518,1040.303582,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('69',)",3660639233,2,31.40029907,3746541034,3746541034,3660639233,0,internal_timestamp,2742.129883,341274,1451650433,1.718999982,3.140029907,34.64104443,1040.290827,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('70',)",3660639244,2,31.39929962,3746541034,3746541034,3660639244,0,internal_timestamp,2739.23999,344662,1451650444,1.719400048,3.139929962,34.6407402,1040.277682,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
